n,seed,mode,base_model,iters,iter,mean_perplexity,median_perplexity,std_perplexity,distinct_2,mean_pairwise_dist,frobenius,hsd
4,0,single,n/a,10,1,,,,0.916010498687664,0.5861084461212158,2.0943105220794678,3.067420112230075
4,0,single,n/a,10,2,,,,0.9375,0.47547197341918945,1.6777136325836182,2.7796517079852907
4,0,single,n/a,10,3,,,,0.8515406162464986,0.28074631094932556,0.9935681819915771,2.080409247830147
4,0,single,n/a,10,4,,,,0.8792650918635171,0.3727046549320221,1.331928014755249,2.3957695465345945
4,0,single,n/a,10,5,,,,0.8519480519480519,0.417844295501709,1.4926308393478394,2.5512885349080556
4,0,single,n/a,10,6,,,,0.9385026737967914,0.5424686074256897,1.9695473909378052,2.8798753340314556
4,0,single,n/a,10,7,,,,0.8459530026109661,0.47637543082237244,1.7035335302352905,2.733324611959448
4,0,single,n/a,10,8,,,,0.835,0.17149804532527924,0.6113805770874023,1.6745257488908742
4,0,single,n/a,10,9,,,,0.8922305764411027,0.5030916333198547,1.8139888048171997,2.8092331312681864
4,0,single,n/a,10,10,,,,0.8789473684210526,0.3694829046726227,1.3217991590499878,2.3849995086955023
4,1,single,n/a,10,1,,,,0.9133858267716536,0.4367688000202179,1.5180671215057373,2.6891408384582927
4,1,single,n/a,10,2,,,,0.9193954659949622,0.5988077521324158,2.18060302734375,3.022551295233031
4,1,single,n/a,10,3,,,,0.9010416666666666,0.33003464341163635,1.1932874917984009,2.231937484011776
4,1,single,n/a,10,4,,,,0.8756476683937824,0.2722180187702179,0.9519484639167786,2.063334435734101
4,1,single,n/a,10,5,,,,0.8894472361809045,0.33761128783226013,1.1876240968704224,2.297923155671868
4,1,single,n/a,10,6,,,,0.8778625954198473,0.25221166014671326,0.9268264770507812,1.941563147658389
4,1,single,n/a,10,7,,,,0.9078947368421053,0.6198948621749878,2.314523696899414,2.8941630868858206
4,1,single,n/a,10,8,,,,0.9042821158690176,0.25810447335243225,0.9401300549507141,1.971420109601404
4,1,single,n/a,10,9,,,,0.8858560794044665,0.2685754597187042,0.9531958699226379,2.027435092553899
4,1,single,n/a,10,10,,,,0.9053708439897699,0.3605194389820099,1.2596241235733032,2.395909065212853
4,2,single,n/a,10,1,,,,0.938375350140056,0.657526969909668,2.3225955963134766,3.318857919925461
4,2,single,n/a,10,2,,,,0.9183673469387755,0.38756266236305237,1.384859561920166,2.439535701593651
4,2,single,n/a,10,3,,,,0.8886010362694301,0.35823535919189453,1.3027735948562622,2.305333207328427
4,2,single,n/a,10,4,,,,0.9247311827956989,0.5500855445861816,1.9703904390335083,2.972455475051215
4,2,single,n/a,10,5,,,,0.9220430107526881,0.4012349545955658,1.441934585571289,2.4770915768056816
4,2,single,n/a,10,6,,,,0.848314606741573,0.3230848014354706,1.1508097648620605,2.226187730304063
4,2,single,n/a,10,7,,,,0.8208232445520581,0.1373109072446823,0.48554766178131104,1.551214245518611
4,2,single,n/a,10,8,,,,0.8596491228070176,0.48090067505836487,1.7253955602645874,2.746393826652324
4,2,single,n/a,10,9,,,,0.9095890410958904,0.3192199468612671,1.1344839334487915,2.219565563936855
4,2,single,n/a,10,10,,,,0.8610354223433242,0.23803789913654327,0.852085530757904,1.9023751459939697
4,0,data_segment,n/a,10,1,,,,0.9005376344086021,0.31252777576446533,1.124247670173645,2.170252745118659
4,0,data_segment,n/a,10,2,,,,0.8927680798004988,0.32656750082969666,1.1437262296676636,2.2673430903975254
4,0,data_segment,n/a,10,3,,,,0.9066666666666666,0.28821882605552673,1.0476442575454712,2.07454244235715
4,0,data_segment,n/a,10,4,,,,0.9025641025641026,0.25789734721183777,0.9709271788597107,1.9309852999188595
4,0,data_segment,n/a,10,5,,,,0.9176136363636364,0.3231991231441498,1.1568400859832764,2.226130806537563
4,0,data_segment,n/a,10,6,,,,0.9083969465648855,0.38326287269592285,1.3741004467010498,2.4341065589188435
4,0,data_segment,n/a,10,7,,,,0.9402597402597402,0.5757321715354919,2.1850736141204834,2.830725237767696
4,0,data_segment,n/a,10,8,,,,0.9081885856079405,0.24396280944347382,0.8547919392585754,1.9556518353314207
4,0,data_segment,n/a,10,9,,,,0.9098143236074271,0.294731467962265,1.0614265203475952,2.1095539584229566
