n,seed,mode,base_model,iters,iter,mean_perplexity,median_perplexity,std_perplexity,distinct_2,mean_pairwise_dist,frobenius,hsd
1,0,model_family,n/a,12,1,,,,0.9583333333333334,0.0,0.0,1.0
1,0,model_family,n/a,12,2,,,,0.956989247311828,0.0,0.0,1.0
1,0,model_family,n/a,12,3,,,,0.9393939393939394,0.0,0.0,1.0
1,0,model_family,n/a,12,4,,,,0.9795918367346939,0.0,0.0,1.0
1,0,model_family,n/a,12,5,,,,0.9702970297029703,0.0,0.0,1.0
1,0,model_family,n/a,12,6,,,,0.9574468085106383,0.0,0.0,1.0
1,0,model_family,n/a,12,7,,,,0.9789473684210527,0.0,0.0,1.0
1,0,model_family,n/a,12,8,,,,0.9247311827956989,0.0,0.0,1.0
1,0,model_family,n/a,12,9,,,,0.9425287356321839,0.0,0.0,1.0
1,0,model_family,n/a,12,10,,,,0.9117647058823529,0.0,0.0,1.0
1,0,model_family,n/a,12,11,,,,0.9897959183673469,0.0,0.0,1.0
1,0,model_family,n/a,12,12,,,,0.9574468085106383,0.0,0.0,1.0
1,1,model_family,n/a,12,1,,,,0.956989247311828,0.0,0.0,1.0
1,1,model_family,n/a,12,2,,,,0.9777777777777777,0.0,0.0,1.0
1,1,model_family,n/a,12,3,,,,0.9583333333333334,0.0,0.0,1.0
1,1,model_family,n/a,12,4,,,,0.9552238805970149,0.0,0.0,1.0
1,1,model_family,n/a,12,5,,,,0.9805825242718447,0.0,0.0,1.0
1,1,model_family,n/a,12,6,,,,0.9306930693069307,0.0,0.0,1.0
1,1,model_family,n/a,12,7,,,,0.9893617021276596,0.0,0.0,1.0
1,1,model_family,n/a,12,8,,,,0.9191919191919192,0.0,0.0,1.0
1,1,model_family,n/a,12,9,,,,0.9578947368421052,0.0,0.0,1.0
1,1,model_family,n/a,12,10,,,,0.96,0.0,0.0,1.0
1,1,model_family,n/a,12,11,,,,0.9484536082474226,0.0,0.0,1.0
1,1,model_family,n/a,12,12,,,,0.95,0.0,0.0,1.0
1,2,model_family,n/a,12,1,,,,0.9693877551020408,0.0,0.0,1.0
1,2,model_family,n/a,12,2,,,,0.9897959183673469,0.0,0.0,1.0
1,2,model_family,n/a,12,3,,,,0.9538461538461539,0.0,0.0,1.0
1,2,model_family,n/a,12,4,,,,0.9375,0.0,0.0,1.0
